### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0030121	MNXC15	AP-1 adaptor complex|HA1|HA1 clathrin adaptor
go:0030122	MNXC20	AP-2 adaptor complex|HA2|HA2 clathrin adaptor
go:0030123	MNXC3	AP-3 adaptor complex
go:0030124	MNXC3	AP-4 adaptor complex
go:0030125	MNXC3	clathrin vesicle coat
go:0030126	MNXC15	COPI vesicle coat|coatomer
go:0030127	MNXC3	COPII vesicle coat
go:0030128	MNXC3	clathrin coat of endocytic vesicle|clathrin coat of endocytotic vesicle
go:0030129	MNXC1	clathrin coat of synaptic vesicle
go:0030130	MNXC15	clathrin coat of trans-Golgi network vesicle|clathrin coat of TGN vesicle
go:0030131	MNXC3	clathrin adaptor complex
go:0030132	MNXC20	clathrin coat of coated pit
go:0030133	MNXC3	transport vesicle|constitutive secretory pathway transport vesicle
go:0030134	MNXC3	ER to Golgi transport vesicle|endoplasmic reticulum-Golgi transport vesicle|endoplasmic reticulum to Golgi transport vesicle|ER-Golgi transport vesicle|COPII-coated vesicle|ER to Golgi constitutive secretory pathway transport vesicle
go:0030135	MNXC3	coated vesicle
go:0030136	MNXC3	clathrin-coated vesicle
go:0030137	MNXC15	COPI-coated vesicle
go:0030139	MNXC3	endocytic vesicle|endocytotic vesicle|endocytotic transport vesicle
go:0030140	MNXC15	trans-Golgi network transport vesicle|TGN transport vesicle|trans-Golgi network constitutive secretory pathway transport vesicle
go:0030141	MNXC3	secretory granule
go:0030142	MNXC15	Golgi to ER transport vesicle|Golgi-endoplasmic reticulum transport vesicle|Golgi to ER constitutive secretory pathway transport vesicle|Golgi to endoplasmic reticulum transport vesicle|Golgi-ER transport vesicle
go:0030143	MNXC15	inter-Golgi transport vesicle|inter-Golgi transport constitutive secretory pathway transport vesicle
go:0030173	MNXC16	integral to Golgi membrane
go:0030175	MNXC1	filopodium
go:0030176	MNXC12	integral to endoplasmic reticulum membrane|integral to ER membrane|ER integral membrane protein
go:0030232	MNXC6	insulin control element activator complex|ICE activator complex
go:0030256	MNXC1	type I protein secretion system complex
go:0030257	MNXC1	type III protein secretion system complex|TTSS complex|T3SS complex
go:0030285	MNXC1	integral to synaptic vesicle membrane
go:0030286	MNXC1	dynein complex
go:0030287	MNXC19	cell wall-bounded periplasmic space|cell wall-enclosed periplasmic space|cell wall bounded periplasmic space
go:0030288	MNXC19	outer membrane-bounded periplasmic space|outer membrane bounded periplasmic space|outer membrane-enclosed periplasmic space
go:0030289	MNXC1	protein phosphatase 4 complex
go:0030312	MNXC1	external encapsulating structure
go:0030313	MNXC1	cell envelope
go:0030314	MNXC3	junctional membrane complex
go:0030315	MNXC20	T-tubule|transverse tubule
go:0030386	MNXC8	ferredoxin:thioredoxin reductase complex
go:0030424	MNXC1	axon
go:0030425	MNXC1	dendrite
go:0030426	MNXC1	growth cone
go:0030427	MNXC1	site of polarized growth
go:0030428	MNXC1	cell septum|cross wall
go:0030430	MNXC2	host cell cytoplasm
go:0030445	MNXC22	yeast-form cell wall
go:0030446	MNXC22	hyphal cell wall
go:0030478	MNXC3	actin cap
go:0030479	MNXC3	actin cortical patch|actin patch
go:0030484	MNXC1	muscle fiber|muscle fibre
go:0030485	MNXC3	smooth muscle contractile fiber|smooth muscle fibre
go:0030486	MNXC3	smooth muscle dense body
go:0030496	MNXC1	midbody
go:0030526	MNXC20	granulocyte macrophage colony-stimulating factor receptor complex|granulocyte macrophage colony stimulating factor receptor complex
go:0030529	MNXC1	ribonucleoprotein complex|protein-RNA complex|RNP|RNA-protein complex|ribonucleoprotein
go:0030530	MNXC6	heterogeneous nuclear ribonucleoprotein complex|hnRNP|heterogeneous nuclear ribonucleoprotein
go:0030531	MNXC3	small cytoplasmic ribonucleoprotein complex|small cytoplasmic ribonucleoprotein|scRNP
go:0030532	MNXC6	small nuclear ribonucleoprotein complex|small nuclear ribonucleoprotein|snRNP
go:0030658	MNXC3	transport vesicle membrane|constitutive secretory pathway transport vesicle membrane
go:0030659	MNXC3	cytoplasmic vesicle membrane
go:0030660	MNXC16	Golgi-associated vesicle membrane
go:0030661	MNXC3	chitosome membrane
go:0030662	MNXC3	coated vesicle membrane
go:0030663	MNXC16	COPI coated vesicle membrane
go:0030665	MNXC3	clathrin coated vesicle membrane
go:0030666	MNXC3	endocytic vesicle membrane
go:0030667	MNXC3	secretory granule membrane
go:0030668	MNXC3	merozoite dense granule membrane
go:0030669	MNXC3	clathrin-coated endocytic vesicle membrane
go:0030670	MNXC3	phagocytic vesicle membrane|phagosome membrane
go:0030671	MNXC3	clathrin-coated phagocytic vesicle membrane
go:0030672	MNXC1	synaptic vesicle membrane
go:0030673	MNXC20	axolemma|axonal membrane
go:0030677	MNXC1	ribonuclease P complex|RNase P complex
go:0030678	MNXC4	mitochondrial ribonuclease P complex|mitochondrial RNase P complex
go:0030679	MNXC18	cyanelle ribonuclease P complex|cyanelle RNase P complex
go:0030680	MNXC1	dimeric ribonuclease P complex|dimeric RNase P complex
go:0030681	MNXC1	multimeric ribonuclease P complex|multimeric RNase P complex
go:0030684	MNXC1	preribosome
go:0030685	MNXC6	nucleolar preribosome
go:0030686	MNXC1	90S preribosome
go:0030687	MNXC1	preribosome, large subunit precursor
go:0030688	MNXC1	preribosome, small subunit precursor
go:0030689	MNXC6	Noc complex
go:0030690	MNXC3	Noc1p-Noc2p complex
go:0030691	MNXC3	Noc2p-Noc3p complex
go:0030692	MNXC3	Noc4p-Nop14p complex|Nop7 complex|Nop7 subcomplex
go:0030694	MNXC28	bacterial-type flagellum basal body, rod|flagellin-based flagellum basal body, rod|flagellar basal body, rod
go:0030700	MNXC3	glycine reductase complex
go:0030849	MNXC1	autosome
go:0030863	MNXC3	cortical cytoskeleton
go:0030864	MNXC3	cortical actin cytoskeleton
go:0030867	MNXC12	rough endoplasmic reticulum membrane|rough ER membrane|RER membrane
go:0030868	MNXC12	smooth endoplasmic reticulum membrane|SER membrane|smooth ER membrane
go:0030869	MNXC6	RENT complex
go:0030870	MNXC6	Mre11 complex|RMX complex|MRX complex|RAD50-MRE11-NBN complex|Rad50 complex|Rad50-Rad32-Nbs1 complex|MRN complex
go:0030874	MNXC6	nucleolar chromatin
go:0030875	MNXC6	rDNA protrusion|ribosomal DNA protrusion
go:0030876	MNXC20	interleukin-20 receptor complex|IL-20 receptor complex
go:0030877	MNXC3	beta-catenin destruction complex|beta-catenin degradation complex
go:0030880	MNXC1	RNA polymerase complex|multisubunit RNA polymerase
go:0030891	MNXC3	VCB complex|pVHL-elongin C-elongin B complex|VHL complex|von Hippel-Lindau tumor suppressor complex
go:0030892	MNXC1	mitotic cohesin complex
go:0030893	MNXC1	meiotic cohesin complex
go:0030894	MNXC1	replisome
go:0030895	MNXC6	apolipoprotein B mRNA editing enzyme complex|APOBEC|apoB mRNA editing enzyme complex
go:0030896	MNXC6	checkpoint clamp complex|Rad9-Hus1-Rad1 (9-1-1) clamp complex|CCC
go:0030897	MNXC10	HOPS complex
go:0030904	MNXC1	retromer complex
go:0030905	MNXC1	retromer complex, outer shell
go:0030906	MNXC1	retromer complex, inner shell
go:0030907	MNXC6	MBF transcription complex|MBF|DSC1 transcription factor complex|Mlu1-box binding factor
go:0030914	MNXC6	STAGA complex|STAGA coactivator complex|SPT3-TAF9-GCN5 acetylase complex
go:0030915	MNXC1	Smc5-Smc6 complex
go:0030929	MNXC3	ADPG pyrophosphorylase complex
go:0030930	MNXC3	homotetrameric ADPG pyrophosphorylase complex
go:0030931	MNXC3	heterotetrameric ADPG pyrophosphorylase complex
go:0030932	MNXC18	amyloplast ADPG pyrophosphorylase complex
go:0030933	MNXC8	chloroplast ADPG pyrophosphorylase complex
go:0030934	MNXC1	anchoring collagen|connecting collagen|linking collagen
go:0030935	MNXC1	sheet-forming collagen|network-forming collagen
go:0030936	MNXC1	transmembrane collagen|MACIT
go:0030937	MNXC1	collagen type XVII
go:0030938	MNXC1	collagen type XVIII
go:0030956	MNXC1	glutamyl-tRNA(Gln) amidotransferase complex
go:0030958	MNXC6	RITS complex
go:0030964	MNXC1	NADH dehydrogenase complex|Complex I
go:0030981	MNXC3	cortical microtubule cytoskeleton
go:0030988	MNXC20	high molecular weight kininogen receptor complex
go:0030990	MNXC1	intraflagellar transport particle|intraflagellar transport complex
go:0030991	MNXC1	intraflagellar transport particle A|intraflagellar transport  complex  A
go:0030992	MNXC1	intraflagellar transport particle B|intraflagellar transport complex B
go:0030993	MNXC1	axonemal heterotrimeric kinesin-II complex
go:0030998	MNXC6	linear element
go:0031002	MNXC1	actin rod
go:0031003	MNXC1	actin tubule
go:0031004	MNXC20	potassium ion-transporting ATPase complex|Kdp system complex
go:0031009	MNXC18	plastid ADPG pyrophosphorylase complex
go:0031010	MNXC6	ISWI complex
go:0031011	MNXC6	Ino80 complex|INO80 chromatin remodeling complex
go:0031012	MNXC1	extracellular matrix
go:0031015	MNXC6	karyopherin docking complex
go:0031019	MNXC4	mitochondrial mRNA editing complex|mitochondrial editosome
go:0031020	MNXC18	plastid mRNA editing complex|plastid editosome
go:0031021	MNXC3	interphase microtubule organizing center|interphase MTOC|interphase microtubule organising center|iMTOC
go:0031026	MNXC1	glutamate synthase complex
go:0031027	MNXC1	glutamate synthase complex (NADH)
go:0031039	MNXC6	macronucleus
go:0031040	MNXC6	micronucleus
go:0031045	MNXC3	dense core granule|dense core vesicle
go:0031074	MNXC1	nucleocytoplasmic shuttling complex
go:0031080	MNXC6	Nup107-160 complex|Nup84 complex|Nup107-120 complex
go:0031082	MNXC3	BLOC complex
go:0031083	MNXC3	BLOC-1 complex
go:0031084	MNXC3	BLOC-2 complex
go:0031085	MNXC3	BLOC-3 complex
go:0031088	MNXC3	platelet dense granule membrane
go:0031089	MNXC3	platelet dense granule lumen
go:0031090	MNXC1	organelle membrane
go:0031091	MNXC3	platelet alpha granule|platelet alpha-granule
go:0031092	MNXC3	platelet alpha granule membrane|platelet alpha-granule membrane
go:0031093	MNXC3	platelet alpha granule lumen|platelet alpha-granule lumen
go:0031094	MNXC1	platelet dense tubular network
go:0031095	MNXC1	platelet dense tubular network membrane
go:0031096	MNXC1	platelet dense tubular network lumen
go:0031097	MNXC3	medial cortex|medial ring
go:0031105	MNXC3	septin complex
go:0031143	MNXC1	pseudopodium|pseudopod
go:0031160	MNXC22	spore wall|spore coat
go:0031164	MNXC10	contractile vacuolar membrane|contractile vacuole membrane
go:0031165	MNXC10	integral to contractile vacuolar membrane
go:0031166	MNXC10	integral to vacuolar membrane
go:0031201	MNXC1	SNARE complex
go:0031205	MNXC12	endoplasmic reticulum Sec complex
go:0031207	MNXC11	Sec62/Sec63 complex|Sec62/63 complex|ER protein translocation subcomplex
go:0031209	MNXC3	SCAR complex|WAVE complex
go:0031211	MNXC12	endoplasmic reticulum palmitoyltransferase complex
go:0031213	MNXC6	RSF complex|remodeling and spacing factor complex
go:0031224	MNXC1	intrinsic to membrane
go:0031225	MNXC1	anchored to membrane
go:0031226	MNXC20	intrinsic to plasma membrane
go:0031227	MNXC12	intrinsic to endoplasmic reticulum membrane
go:0031228	MNXC16	intrinsic to Golgi membrane
go:0031229	MNXC7	intrinsic to nuclear inner membrane
go:0031230	MNXC21	intrinsic to cell outer membrane
go:0031231	MNXC14	intrinsic to peroxisomal membrane
go:0031232	MNXC20	extrinsic to external side of plasma membrane
go:0031233	MNXC20	intrinsic to external side of plasma membrane
go:0031234	MNXC20	extrinsic to internal side of plasma membrane
go:0031235	MNXC20	intrinsic to internal side of plasma membrane
go:0031236	MNXC19	extrinsic to external side of plasma membrane, in periplasmic space
go:0031237	MNXC19	intrinsic to external side of plasma membrane, in periplasmic space
go:0031240	MNXC21	external side of cell outer membrane
go:0031241	MNXC21	internal side of cell outer membrane|internal side of outer membrane
go:0031242	MNXC21	extrinsic to external side of cell outer membrane|extrinsic to external side of outer membrane
go:0031243	MNXC21	intrinsic to external side of cell outer membrane|intrinsic to external side of outer membrane
go:0031244	MNXC21	extrinsic to cell outer membrane
go:0031245	MNXC21	extrinsic to internal side of cell outer membrane|extrinsic to internal side of outer membrane
go:0031246	MNXC21	intrinsic to internal side of cell outer membrane|intrinsic to internal side of outer membrane
go:0031248	MNXC1	protein acetyltransferase complex
go:0031250	MNXC3	anaerobic ribonucleoside-triphosphate reductase complex
go:0031251	MNXC3	PAN complex|poly(A) nuclease complex
go:0031252	MNXC1	cell leading edge|leading edge of cell|front of cell
go:0031253	MNXC20	cell projection membrane
go:0031254	MNXC1	trailing edge|back of cell
go:0031255	MNXC1	lateral part of motile cell
go:0031256	MNXC20	leading edge membrane
go:0031257	MNXC20	trailing edge membrane
go:0031258	MNXC20	lamellipodium membrane
go:0031259	MNXC20	uropod membrane|uropodium membrane
go:0031260	MNXC20	pseudopodium membrane
go:0031261	MNXC6	DNA replication preinitiation complex|pre-IC
go:0031262	MNXC1	Ndc80 complex|Nuf2-Ndc80 complex
go:0031264	MNXC20	death-inducing signaling complex|DISC|death receptor-induced signaling complex|death-inducing signalling complex|DISC protein complex|death receptor-induced signalling complex
go:0031265	MNXC20	CD95 death-inducing signaling complex|CD95 death-inducing signalling complex|CD95 DISC|Fas death-inducing signaling complex
go:0031266	MNXC20	TRAIL death-inducing signaling complex|TRAIL death-inducing signalling complex|TRAIL DISC
go:0031298	MNXC6	replication fork protection complex|replisome progression complex
go:0031300	MNXC1	intrinsic to organelle membrane
go:0031301	MNXC1	integral to organelle membrane
go:0031302	MNXC3	intrinsic to endosome membrane
go:0031303	MNXC3	integral to endosome membrane
go:0031304	MNXC5	intrinsic to mitochondrial inner membrane
go:0031305	MNXC5	integral to mitochondrial inner membrane
go:0031306	MNXC5	intrinsic to mitochondrial outer membrane
go:0031307	MNXC5	integral to mitochondrial outer membrane
go:0031308	MNXC7	intrinsic to nuclear outer membrane
go:0031309	MNXC7	integral to nuclear outer membrane
go:0031310	MNXC10	intrinsic to vacuolar membrane
go:0031311	MNXC10	intrinsic to contractile vacuolar membrane
go:0031312	MNXC1	extrinsic to organelle membrane
go:0031313	MNXC3	extrinsic to endosome membrane
go:0031314	MNXC5	extrinsic to mitochondrial inner membrane
go:0031315	MNXC5	extrinsic to mitochondrial outer membrane
go:0031316	MNXC7	extrinsic to nuclear outer membrane
go:0031317	MNXC1	tripartite ATP-independent periplasmic transporter complex|TRAP-T transporter complex|TRAP transporter complex
go:0031332	MNXC1	RNAi effector complex
go:0031350	MNXC18	intrinsic to plastid membrane
go:0031351	MNXC18	integral to plastid membrane
go:0031352	MNXC18	intrinsic to plastid inner membrane
go:0031353	MNXC18	integral to plastid inner membrane
go:0031354	MNXC21	intrinsic to plastid outer membrane
go:0031355	MNXC21	integral to plastid outer membrane
go:0031356	MNXC8	intrinsic to chloroplast inner membrane
go:0031357	MNXC8	integral to chloroplast inner membrane
go:0031358	MNXC8	intrinsic to chloroplast outer membrane
go:0031359	MNXC8	integral to chloroplast outer membrane
go:0031360	MNXC1	intrinsic to thylakoid membrane
go:0031361	MNXC1	integral to thylakoid membrane
go:0031362	MNXC20	anchored to external side of plasma membrane
go:0031371	MNXC1	ubiquitin conjugating enzyme complex
go:0031372	MNXC1	UBC13-MMS2 complex
go:0031375	MNXC1	type II fatty acid synthase complex|type II FAS complex|type II FAS|type II fatty acid synthase
go:0031376	MNXC1	cytosolic type II fatty acid synthase complex|cytosolic type II FAS complex
go:0031377	MNXC1	mitochondrial type II fatty acid synthase complex|mitochondrial type II FAS complex
go:0031378	MNXC1	plastid type II fatty acid synthase complex|plastid type II FAS complex
go:0031379	MNXC1	RNA-directed RNA polymerase complex
go:0031380	MNXC6	nuclear RNA-directed RNA polymerase complex|RDRC
go:0031381	MNXC1	viral RNA-directed RNA polymerase complex
go:0031387	MNXC1	MPF complex
go:0031389	MNXC1	Rad17 RFC-like complex|RFC (Rad17)|Rad24p RFC-like complex|Rad17-RLC|Rad17-RFC
go:0031390	MNXC1	Ctf18 RFC-like complex|Ctf18-RFC|RFC (Ctf18)|Ctf18-RLC
go:0031391	MNXC1	Elg1 RFC-like complex|RFC (Elg1)|Elg1-RFC|Elg1-RLC
go:0031395	MNXC2	bursicon neuropeptide hormone complex
go:0031410	MNXC3	cytoplasmic vesicle
go:0031411	MNXC3	gas vesicle
go:0031414	MNXC3	N-terminal protein acetyltransferase complex|NAT complex
go:0031415	MNXC3	NatA complex|N-terminal acetyltransferase A complex
go:0031416	MNXC3	NatB complex|N-terminal acetyltransferase B complex
go:0031417	MNXC3	NatC complex|N-terminal acetyltransferase C complex
go:0031421	MNXC1	invertasome
go:0031422	MNXC1	RecQ helicase-Topo III complex
go:0031428	MNXC6	box C/D snoRNP complex|box C/D snoRNP ribose-2'-O-methyltransferase complex|box C/D snoRNP ribose 2'-O methylase complex
go:0031429	MNXC6	box H/ACA snoRNP complex|box H/ACA snoRNP pseudouridylase complex
go:0031430	MNXC3	M band|M disc|mesophragma
go:0031431	MNXC1	Dbf4-dependent protein kinase complex|DDK
go:0031436	MNXC6	BRCA1-BARD1 complex
go:0031461	MNXC1	cullin-RING ubiquitin ligase complex|cullin complex|CRL complex
go:0031462	MNXC1	Cul2-RING ubiquitin ligase complex|cullin-RING ligase 2|CDL2 complex|CRL2 complex
go:0031463	MNXC1	Cul3-RING ubiquitin ligase complex|cullin-RING ligase 3|BC3B complex|BCR3 complex|CRL3 complex|CDL3 complex
go:0031464	MNXC1	Cul4A-RING ubiquitin ligase complex|CRL4 complex|cullin-RING ligase 4A|DCX complex|CDL4 complex
go:0031465	MNXC1	Cul4B-RING ubiquitin ligase complex|cullin-RING ligase 4B
go:0031466	MNXC1	Cul5-RING ubiquitin ligase complex|CDL5 complex|cullin-RING ligase 5|CRL5 complex
go:0031467	MNXC1	Cul7-RING ubiquitin ligase complex|CRL7 complex|SCF7 complex|CDL7 complex|cullin-RING ligase 7
go:0031469	MNXC1	polyhedral organelle
go:0031470	MNXC1	carboxysome
go:0031471	MNXC1	ethanolamine degradation polyhedral organelle
go:0031472	MNXC1	propanediol degradation polyhedral organelle
go:0031474	MNXC1	myosin IV complex
go:0031475	MNXC1	myosin V complex
go:0031476	MNXC1	myosin VI complex
go:0031477	MNXC1	myosin VII complex
go:0031478	MNXC1	myosin VIII complex
go:0031479	MNXC1	myosin IX complex
go:0031480	MNXC1	myosin X complex
go:0031481	MNXC1	myosin XI complex
go:0031482	MNXC1	myosin XII complex
go:0031483	MNXC1	myosin XIII complex
go:0031484	MNXC1	myosin XIV complex
go:0031485	MNXC1	myosin XV complex
go:0031486	MNXC1	myosin XVI complex
go:0031487	MNXC1	myosin XVII complex
go:0031488	MNXC1	myosin XVIII complex
go:0031499	MNXC6	TRAMP complex
go:0031500	MNXC3	Tea1 cell-end complex
go:0031501	MNXC1	mannosyltransferase complex
go:0031502	MNXC12	dolichyl-phosphate-mannose-protein mannosyltransferase complex|protein O-mannosyltransferase complex
go:0031510	MNXC6	SUMO activating enzyme complex|SAE|SUMO E1 activator enzyme complex
go:0031511	MNXC1	Mis6-Sim4 complex|Sim4 complex|Mis6-Mal2-Sim4 centromere complex
go:0031512	MNXC1	motile primary cilium|motile primary cilia
go:0031513	MNXC1	nonmotile primary cilium|immotile primary cilium|sensory cilium|nonmotile primary cilia
go:0031514	MNXC1	motile cilium|motile cilia
go:0031515	MNXC3	tRNA (m1A) methyltransferase complex
go:0031518	MNXC1	CBF3 complex
go:0031519	MNXC6	PcG protein complex|Polycomb Group protein complex
go:0031520	MNXC20	plasma membrane of cell tip
go:0031521	MNXC1	spitzenkorper
go:0031522	MNXC1	cell envelope Sec protein transport complex
go:0031523	MNXC1	Myb complex|Myeloblastosis proto-oncogene protein complex
go:0031526	MNXC20	brush border membrane
go:0031527	MNXC20	filopodium membrane
go:0031528	MNXC20	microvillus membrane
go:0031533	MNXC6	mRNA cap methyltransferase complex|mRNA capping enzyme complex|mRNA (guanine-N7) methyltransferase complex
go:0031560	MNXC3	cellular bud neck polarisome
go:0031561	MNXC3	cellular bud tip polarisome
go:0031562	MNXC3	hyphal tip polarisome
go:0031563	MNXC1	mating projection tip polarisome
go:0031588	MNXC1	AMP-activated protein kinase complex|5'-AMP-activated protein kinase complex
go:0031592	MNXC3	centrosomal corona
go:0031594	MNXC1	neuromuscular junction
go:0031595	MNXC6	nuclear proteasome complex
go:0031596	MNXC11	ER proteasome complex
go:0031597	MNXC3	cytosolic proteasome complex
go:0031598	MNXC6	nuclear proteasome regulatory particle
go:0031599	MNXC11	ER proteasome regulatory particle
go:0031600	MNXC3	cytosolic proteasome regulatory particle
